"id";"org_id";"name";"website";"country";"description";"founded";"industry";"employee";"created_at";"updated_at"
"1";"eaf564a2-f1b3-3d11-8280-4a9404f028bc";"Francesca Kris";"https://www.breitenberg.biz/est-nihil-a-qui-aliquam-dolor-ducimus-eaque-cum";"Farrell-Shanahan";"Voluptatum deserunt nemo repellendus quo consequuntur provident molestiae.";"1982";"Rodriguez-Schimmel";"3011";"2024-06-22 12:53:05";"2024-06-22 12:53:05"
"2";"fe405258-0063-36ba-991f-00b37c88da9f";"Deangelo Rath Jr.";"http://www.robel.org/est-ad-hic-officia-voluptatem-sit-facere-esse";"Kautzer-Goodwin";"Odit dicta nulla ipsum laudantium consequatur.";"1987";"Trantow, Lubowitz and Kuvalis";"7105";"2024-06-22 12:53:05";"2024-06-22 12:53:05"
"3";"4b02b056-2ba0-38b4-b3f8-f2e53c5c8698";"Stacy Stiedemann DVM";"http://labadie.net/id-dolores-nobis-veritatis-quibusdam-facere-aliquid-recusandae-odit";"Rutherford, Quitzon and Gutkowski";"Dolores et occaecati repellendus dicta.";"1997";"Lowe-O'Conner";"8157";"2024-06-22 12:53:05";"2024-06-22 12:53:05"
"4";"c2783c2a-3638-36a8-b6b1-eddc4cbd7ef3";"Andreanne Altenwerth DVM";"http://hirthe.com/pariatur-pariatur-dolorem-cupiditate-quia-ea";"Schaden-Lemke";"Amet dolore reprehenderit non voluptatem.";"2013";"Gerhold and Sons";"6334";"2024-06-22 12:53:05";"2024-06-22 12:53:05"
"5";"253ec405-89cf-3d9d-ba06-7f11700f4fe6";"Missouri Greenfelder V";"https://roberts.com/unde-tenetur-nemo-quis-voluptatem-possimus-non.html";"Skiles PLC";"Corporis nostrum quia corrupti repellendus temporibus culpa sequi.";"1991";"Braun-Weimann";"5735";"2024-06-22 12:53:05";"2024-06-22 12:53:05"
"6";"fec60d94-8d9a-3510-acfb-ea16a29f908f";"Deborah Von";"https://cummings.com/vel-aut-blanditiis-vero-ut-quia.html";"Cormier-Davis";"Ipsa qui sint ipsum ut.";"2022";"Dickens PLC";"8448";"2024-06-22 12:53:05";"2024-06-22 12:53:05"
"7";"0fb06e51-63a2-3ebe-8674-d4ba5f797a5b";"Emanuel Borer";"https://rosenbaum.com/maxime-tenetur-qui-dignissimos-libero-reprehenderit.html";"Franecki Group";"Beatae beatae quod enim quasi tenetur quia.";"1996";"Ferry, Ward and Brekke";"3160";"2024-06-22 12:53:05";"2024-06-22 12:53:05"
"8";"5990142d-52d2-3f6f-bd09-bc619b071491";"Miss Brigitte Kunze MD";"http://koss.net/natus-amet-iure-quia-nobis-qui-molestiae-adipisci";"Bergnaum LLC";"Quam quisquam impedit ducimus tenetur expedita eos aut.";"2000";"Lueilwitz-McKenzie";"2384";"2024-06-22 12:53:05";"2024-06-22 12:53:05"
"9";"ec84b85a-848a-3f2a-bc14-5b709adcc2a9";"Bridget Waelchi II";"http://www.osinski.com/quis-natus-assumenda-quod";"Kovacek Ltd";"Aperiam laudantium ipsa modi nihil.";"2015";"D'Amore-Hauck";"798";"2024-06-22 12:53:05";"2024-06-22 12:53:05"
"10";"a1270d7d-9bd2-3ac3-a8c0-afae62434ec7";"Quincy Stroman PhD";"http://www.sipes.net/soluta-expedita-distinctio-et-recusandae-quia-commodi";"Brown and Sons";"Sequi aut ut eius eius omnis.";"1994";"Pfannerstill, Prohaska and Rosenbaum";"5637";"2024-06-22 12:53:05";"2024-06-22 12:53:05"
